sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR5098501,gut,gut,gut,
SRR5098500,gut,gut,gut,
SRR5098499,gut,gut,gut,
SRR5098498,gut,gut,gut,
SRR5098496,gut,gut,gut,
SRR5098495,gut,gut,gut,
SRR5098494,gut,gut,gut,
SRR5098493,gut,gut,gut,
SRR5098492,gut,gut,gut,
SRR5098491,gut,gut,gut,
SRR5098490,gut,gut,gut,
SRR5098489,gut,gut,gut,
SRR5098487,gut,gut,gut,
SRR5098486,gut,gut,gut,
SRR5098484,gut,gut,gut,
SRR5098483,gut,gut,gut,
SRR5098481,gut,gut,gut,
SRR5098479,gut,gut,gut,
SRR5098478,gut,gut,gut,
SRR5098477,gut,gut,gut,
SRR5098475,gut,gut,gut,
SRR5098474,gut,gut,gut,
SRR5098473,gut,gut,gut,
SRR5098472,gut,gut,gut,
SRR5098471,gut,gut,gut,
SRR5098470,gut,gut,gut,
SRR5098469,gut,gut,gut,
SRR5098467,gut,gut,gut,
SRR5098466,gut,gut,gut,
SRR5098465,gut,gut,gut,
SRR5098461,gut,gut,gut,
SRR5098460,gut,gut,gut,
SRR5098459,gut,gut,gut,
SRR5098458,gut,gut,gut,
SRR5098457,gut,gut,gut,
SRR5098456,gut,gut,gut,
SRR5098454,gut,gut,gut,
SRR5098453,gut,gut,gut,
SRR5098452,gut,gut,gut,
SRR5098450,gut,gut,gut,
SRR5098449,gut,gut,gut,
SRR5098447,gut,gut,gut,
SRR5098446,gut,gut,gut,
SRR5098445,gut,gut,gut,
SRR5098444,gut,gut,gut,
SRR5098443,gut,gut,gut,
SRR5098442,gut,gut,gut,
SRR5098440,gut,gut,gut,
SRR5098439,gut,gut,gut,
SRR5098438,gut,gut,gut,
SRR5098436,gut,gut,gut,
SRR5098435,gut,gut,gut,
SRR5098434,gut,gut,gut,
SRR5098432,gut,gut,gut,
SRR5098431,gut,gut,gut,
SRR5098430,gut,gut,gut,
SRR5098429,gut,gut,gut,
SRR5098427,gut,gut,gut,
SRR5098426,gut,gut,gut,
SRR5098425,gut,gut,gut,
SRR5098423,gut,gut,gut,
SRR5098421,gut,gut,gut,
SRR5098420,gut,gut,gut,
SRR5098417,gut,gut,gut,
SRR5098416,gut,gut,gut,
SRR5098415,gut,gut,gut,
SRR5098413,gut,gut,gut,
SRR5098411,gut,gut,gut,
SRR5098410,gut,gut,gut,
SRR5098409,gut,gut,gut,
SRR5098408,gut,gut,gut,
SRR5098407,gut,gut,gut,
SRR5098406,gut,gut,gut,
SRR5098404,gut,gut,gut,
SRR5098403,gut,gut,gut,
SRR5098402,gut,gut,gut,
SRR5098401,gut,gut,gut,
SRR5098400,gut,gut,gut,
SRR5098398,gut,gut,gut,
SRR5098397,gut,gut,gut,
SRR5098396,gut,gut,gut,
SRR5098395,gut,gut,gut,
SRR5098394,gut,gut,gut,
SRR5098393,gut,gut,gut,
SRR5098392,gut,gut,gut,
SRR5098390,gut,gut,gut,
SRR5098389,gut,gut,gut,
SRR5098388,gut,gut,gut,
SRR5098386,gut,gut,gut,
SRR5098385,gut,gut,gut,
SRR5098384,gut,gut,gut,
SRR5098383,gut,gut,gut,
SRR5098382,gut,gut,gut,
SRR5098380,gut,gut,gut,
SRR5098379,gut,gut,gut,
SRR5098378,gut,gut,gut,
SRR5098377,gut,gut,gut,
SRR5098376,gut,gut,gut,
SRR5098375,gut,gut,gut,
SRR5098374,gut,gut,gut,
SRR5098373,gut,gut,gut,
SRR5098372,gut,gut,gut,
SRR5098371,gut,gut,gut,
SRR5098370,gut,gut,gut,
SRR5098369,gut,gut,gut,
SRR5098368,gut,gut,gut,
SRR5098367,gut,gut,gut,
SRR5098366,gut,gut,gut,
SRR5098364,gut,gut,gut,
SRR5098363,gut,gut,gut,
SRR5098361,gut,gut,gut,
SRR5098360,gut,gut,gut,
SRR5098359,gut,gut,gut,
SRR5098357,gut,gut,gut,
SRR5098356,gut,gut,gut,
SRR5098355,gut,gut,gut,
SRR5098354,gut,gut,gut,
